A236806847	2020-04-10	sars, rna, virus	1,979	402,782	27	30,804
action-stories	2019-12-28	mr., captain, god	154	9,538,879	83	485,640
aesthetics	2020-03-03	art, nature, beauty	148	10,023,399	63	373,980
alcott-louisa	2020-01-02	mrs., little, miss	26	1,567,518	8	56,224
alex-catalogue	2020-03-11	man, god, mr.	672	24,628,858	73	908,144
aliens	2019-12-28	earth, man, mr.	153	2,332,271	82	84,624
angel	2020-04-18	god, lord, man	27	1,438,785	73	55,188
ariadne	2019-12-28	web, library, information	2,993	6,996,765	48	278,112
aristotle	2019-12-27	aristotle, man, comedy	6	290,781	55	12,532
austen	2019-12-28	chapter, come, england	4	708,575	77	29,324
britannica-02	2020-03-12	mr, long, water	5,692	10,076,672	66	400,528
britannica-04	2020-03-11	mr, water, j	10,007	16,700,222	67	691,432
britannica-05	2020-03-10	mr, water, air	9,012	15,921,640	67	639,976
britannica-07	2020-03-12	mr, french, st	12,757	22,187,998	62	898,284
britannica-08	2020-03-12	mr, french, france	13,525	23,370,368	61	951,756
bronte	2019-12-27	england, french, god	4	708,817	77	29,304
catholic-pamphlets	2020-03-11	god, church, catholic	1,427	16,031,863	66	15,122,080
cd-hotlist	2020-01-08	pick, music, skip	1,114	1,371,368	62	83,148
civil-war	2019-12-28	general, confederate, lee	73	4,148,317	7	189,380
code4lib-jobs	2020-01-09	library, university, digital	2,541	1,489,154	23	81,192
code4lib-jobs-2015	2020-01-08	library, university, digital	962	480,853	24	28,312
code4lib-jobs-2016	2020-01-08	library, university, digital	557	305,337	26	19,096
code4lib-jobs-2017	2020-01-08	library, university, libraries	57	44,739	23	5,952
code4lib-jobs-2018	2020-01-08	library, university, digital	414	354,562	22	23,008
code4lib-jobs-2019	2020-01-08	library, university, digital	551	303,663	2	19,824
code4lib-journal	2019-12-28	library, api, code4lib	674	2,870,410	5	111,336
code4lib-planet	2019-12-28	library, university, â–º	1,117	3,055,822	56	173,392
collins	2020-02-04	mr., mrs., miss	36	4,824,035	81	176,572
cooking	2019-12-28	sauce, cream, water	300	14,777,499	81	527,856
cooper	2019-12-27	mr., god, captain	27	3,633,015	67	145,860
covid-19	2020-03-17	fig, figure, rna	13,200	60,888,248	42	2,354,224
cultural-analytics	2019-12-30	fiction, novel, english	33	320,767	45	16,252
current-cites	2019-12-28	library, internet, web	591	992,186	5	47,272
dickens	2019-12-28	mr., mrs., john	76	2,710,214	79	154,048
dime-novels	2019-12-28	chapter, matt, mrs.	88	4,420,503	84	153,284
dlf-forum	2019-12-28	digital, university, library	198	190,767	41	1,021,612
duty	2020-03-03	duty, god, man	24	1,104,013	67	42,000
evolution	2020-03-14	man, evolution, life	97	6,121,056	58	644,260
first-monday	2019-12-30	internet, web, information	4,708	25,291,654	45	902,208
happiness	2020-02-21	good, man, god	15	799,276	76	30,764
hawthorne	2019-12-27	king, bellerophon, cadmus	8	491,012	76	19,880
henty	2019-12-30	english, colonel, illustration	43	4,713,596	78	180,400
history-canada	2019-12-30	canada, french, new	86	5,975,953	69	213,320
history-netherlands	2019-12-30	king, netherlands, philip	115	4,299,208	59	260,052
homer	2019-12-28	trojans, ulyss, achaeans	48	271,885	74	12,700
ijol	2020-03-03	library, university, journal	71	298,717	39	39,560
immortality	2020-03-03	god, life, man	133	6,928,959	65	268,504
ireland-descriptions	2019-12-30	ireland, mr., england	22	2,266,594	67	87,660
irish-childrens-literature	2019-11-29	said, little, great	13	670,240	88	32,944
irish-fiction	2019-12-30	mr., mrs., miss	85	8,124,231	79	392,932
irish-revival-youth-literature	2019-12-30	king, ireland, erin	12	613,057	83	24,344
ital	2020-03-12	library, information, lita	679	2,839,778	43	2,077,232
justice	2019-12-30	state, god, justice	0	0		25,668
justics	2019-12-30	state, god, justice	0	0		25,668
knowledge	2019-12-30	god, mind, idea	30	2,330,815	61	80,452
liberty-bell	2019-12-30	new, american, york	111	7,425,184	72	382,784
little-women	2020-01-02	jo, laurie, meg	47	190,918	79	10,276
logic	2020-02-21	logic, thing, man	16	951,000	63	34,832
london	2019-12-30	london, illustration, mr.	170	7,840,626	71	322,492
love	2020-02-21	dr., new, man	79	4,472,918	64	258,212
marriage	2019-12-30	mrs., mr., miss	297	17,014,111	77	582,684
medicine	2020-02-21	new, man, dr.	79	4,440,950	64	258,200
metaphysics	2020-03-13	god, nature, philosophy	70	5,391,240	6	223,412
mind	2020-03-03	mind, god, man	72	4,780,124	59	185,920
morgan	2019-12-30	june, library, university	1,617	556,252	55	71,408
nature	2020-02-21	god, little, illustration	42	2,420,140	78	95,668
open-access	2019-11-29	edited, journals, retrieved	1,170	4,535,940	49	324,588
pacsr	2019-12-27	university, page, internet	139	414,298	51	19,984
painting	2019-12-30	illustration, art, st.	56	3,837,483	64	137,744
paris	2019-12-30	paris, french, france	39	3,223,386	65	117,960
paris-fiction	2019-12-30	paris, madame, m.	107	5,285,904	78	190,104
philosophy	2019-11-29	man, greatness, life	163	11,459,708	65	495,608
planet-code4lib	2019-11-29	libraries, data, library	494	1,039,502	5	89,244
plato	2019-12-30	socrates, plato, god	24	931,061	72	32,888
plato-aristotle	2019-12-28	socrates, plato, god	29	1,505,189	69	52,132
punishment	2020-02-21	court, church, england	11	616,822	64	24,808
rdcb	2019-12-30	data, research, datum	4,202	15,669,663	43	979,048
religion	2020-02-21	god, man, christian	174	11,846,692	63	513,592
rome	2019-12-30	rome, roman, italy	143	10,417,684	64	426,288
rome-fiction	2019-12-30	rome, roman, god	51	3,618,572	73	126,564
scout-report	2019-11-29	http, reports, included	1,136	3,774,290	55	213,148
selected-american-authors	2019-12-27	mr., new, man	164	10,087,183	69	391,804
sepb	2019-11-29	libraries, http, library	1,106	4,158,020	17	237,144
sin	2020-04-18	god, christ, lord	58	3,199,420	73	141,380
slavery	2020-02-21	mr., slave, god	168	9,232,741	71	432,468
theological-librarianship	2020-02-04	theological, library, new	390	992,246	43	130,880
truth	2020-03-03	god, truth, church	29	2,011,675	66	84,904
unitarian	2019-11-29	gods, greatness, shall	80	6,093,761	72	292,852
virtue	2019-12-27	socrate, alcibiades, good	10	164,746	78	8,420
wealth	2020-02-21	mr., mrs., miss	26	1,250,056	77	45,808
weave	2019-12-30	library, user, experience	259	158,006	52	26,344
wisdom	2020-04-18	god, man, wisdom	16	1,351,561	74	52,644
wolff	2020-03-19	library, covid-19, libraries	236	229,373	52	16,008
wwp	2019-11-29	shall, thy, thou	416	9,949,526	68	461,808
